,STATE,NAME,geometry
218,HI,"walmart, wal-mart",POINT (-156.4549732 20.8784017)
221,HI,cvs,POINT (-156.4543294 20.7485448)
225,HI,cvs,POINT (-157.8020363 21.420722)
226,HI,cvs,POINT (-158.0064832 21.4530953)
227,HI,cvs,POINT (-156.6842417 20.8862387)
232,HI,cvs,POINT (-158.0779618 21.3399177)
235,HI,cvs,POINT (-155.0983344 19.7168278)
237,HI,cvs,POINT (-158.1038218 21.5881391)
241,HI,cvs,POINT (-157.8626491 21.3017381)
255,HI,walgreens,POINT (-157.7442184 21.3959352)
256,HI,cvs,POINT (-155.061842 19.6958701)
259,HI,cvs,POINT (-155.040777 19.6223781)
262,HI,"walmart, wal-mart",POINT (-155.0619253 19.700143)
271,HI,walgreens,POINT (-156.5016702 20.8870549)
272,HI,cvs,POINT (-156.3302808 20.8226116)
274,HI,cvs,POINT (-157.860779 21.3093745)
275,HI,cvs,POINT (-158.0246874 21.3780774)
276,HI,cvs,POINT (-155.0809027 19.7190242)
277,HI,cvs,POINT (-158.1841985 21.4359053)
281,HI,cvs,POINT (-155.9934171 19.6434559)
282,HI,cvs,POINT (-155.0966719 19.7142574)
284,HI,cvs,POINT (-157.8383677 21.2974226)
289,HI,cvs,POINT (-159.5856072 21.9046493)
313,HI,"walmart, wal-mart",POINT (-158.0345533 21.3914208)
314,HI,cvs,POINT (-156.4546946 20.750843)
315,HI,"walmart, wal-mart",POINT (-157.9744739 21.3971473)
317,HI,cvs,POINT (-157.8268777 21.29426)
320,HI,walgreens,POINT (-156.6808549 20.8845509)
322,HI,cvs,POINT (-156.500467 20.888518)
324,HI,cvs,POINT (-157.7076898 21.2842379)
325,HI,cvs,POINT (-157.8434712 21.2910768)
